Year,NOC,Bronze,Total
2024,USA,42,42
2016,USA,38,38
2008,USA,37,37
2004,RUS,36,36
2020,USA,33,33
2000,USA,32,32
2008,CHN,30,30
2012,USA,30,30
2000,RUS,29,29
2024,GBR,29,29
1996,GER,27,27
2000,GER,26,26
2004,USA,26,26
2012,RUS,26,26
2016,CHN,26,26
1996,USA,25,25
2024,CHN,24,24
1996,AUS,23,23
2008,RUS,23,23
2020,ROC,23,23
2012,CHN,22,22
2020,AUS,22,22
2020,GBR,22,22
2024,FRA,22,22
2016,JPN,21,21
2004,GER,20,20
2008,FRA,20,20
2016,RUS,20,20
2020,ITA,20,20
2008,GBR,19,19
2020,CHN,19,19
2012,GBR,18,18
2000,AUS,17,17
2004,AUS,17,17
2008,AUS,17,17
2008,CUB,17,17
2012,JPN,17,17
2016,GBR,17,17
2020,JPN,17,17
1996,RUS,16,16
2020,GER,16,16
2024,AUS,16,16
1996,FRA,15,15
2004,CHN,15,15
2016,CAN,15,15
2016,GER,15,15
2024,ITA,15,15
2000,CHN,14,14
2008,GER,14,14
2016,FRA,14,14
2020,NED,14,14
2000,ITA,13,13
2004,FRA,13,13
2010,USA,13,13
2012,FRA,13,13
2012,GER,13,13
2024,JPN,13,13
1996,CHN,12,12
1996,ITA,12,12
1996,UKR,12,12
2004,GBR,12,12
2004,JPN,12,12
2012,AUS,12,12
2020,UKR,12,12
2024,NED,12,12
2000,BLR,11,11
2000,FRA,11,11
2002,USA,11,11
2004,CUB,11,11
2004,ITA,11,11
2008,UKR,11,11
2012,ITA,11,11
2018,NOR,11,11
2020,FRA,11,11
2024,CAN,11,11
1996,HUN,10,10
1996,NED,10,10
2000,KOR,10,10
2000,UKR,10,10
2002,AUT,10,10
2008,BRA,10,10
2008,ITA,10,10
2012,CAN,10,10
2012,UKR,10,10
2014,USA,10,10
2016,AUS,10,10
2016,AZE,10,10
2016,KAZ,10,10
2018,CAN,10,10
2020,CAN,10,10
2020,KOR,10,10
2024,BRA,10,10
2024,KOR,10,10
1996,BRA,9,9
1996,ROU,9,9
1998,AUT,9,9
2000,ROU,9,9
2004,BUL,9,9
2004,KOR,9,9
2004,NED,9,9
2004,UKR,9,9
2006,NOR,9,9
2012,BRA,9,9
2012,KOR,9,9
2014,NED,9,9
2014,NOR,9,9
2014,RUS,9,9
2016,KOR,9,9
2018,OAR,9,9
2020,TUR,9,9
2024,ESP,9,9
1996,BLR,8,8
1996,CAN,8,8
1996,CUB,8,8
1998,GER,8,8
2000,CAN,8,8
2002,GER,8,8
2006,RUS,8,8
2008,CAN,8,8
2008,JPN,8,8
2008,KOR,8,8
2012,NED,8,8
2016,ITA,8,8
2020,BRA,8,8
2020,KAZ,8,8
2024,GER,8,8
2000,CUB,7,7
2000,GBR,7,7
2002,CAN,7,7
2002,NOR,7,7
2004,BLR,7,7
2006,AUT,7,7
2006,CAN,7,7
2006,USA,7,7
2008,BLR,7,7
2010,GER,7,7
2010,RUS,7,7
2012,CUB,7,7
2012,KEN,7,7
2014,FRA,7,7
2014,ITA,7,7
2016,CZE,7,7
2016,DEN,7,7
2016,UZB,7,7
2018,GER,7,7
2020,HUN,7,7
2020,NZL,7,7
1996,ESP,6,6
1996,GBR,6,6
1998,FIN,6,6
2000,BRA,6,6
2000,GEO,6,6
2002,SUI,6,6
2004,ESP,6,6
2004,ROU,6,6
2006,GER,6,6
2006,ITA,6,6
2008,KEN,6,6
2010,AUT,6,6
2010,FRA,6,6
2010,NOR,6,6
2012,ESP,6,6
2012,HUN,6,6
2012,KAZ,6,6
2012,POL,6,6
2014,SWE,6,6
2016,BRA,6,6
2016,ESP,6,6
2016,POL,6,6
2018,AUT,6,6
2018,FRA,6,6
2018,NED,6,6
2018,USA,6,6
2020,ESP,6,6
2020,SUI,6,6
2020,TPE,6,6
2024,BEL,6,6
2024,CUB,6,6
2024,GRE,6,6
2024,HUN,6,6
1996,BUL,5,5
1996,JPN,5,5
1996,KOR,5,5
1996,POL,5,5
1998,FRA,5,5
1998,NOR,5,5
2000,ESP,5,5
2000,JPN,5,5
2002,ITA,5,5
2002,SWE,5,5
2004,CZE,5,5
2004,DEN,5,5
2004,POL,5,5
2006,CHN,5,5
2006,SUI,5,5
2006,SWE,5,5
2010,CAN,5,5
2012,AZE,5,5
2012,COL,5,5
2012,NZL,5,5
2014,AUT,5,5
2014,CAN,5,5
2014,GER,5,5
2016,ETH,5,5
2016,NZL,5,5
2018,ITA,5,5
2020,AUT,5,5
2020,CUB,5,5
2020,POL,5,5
2020,SRB,5,5
2024,DEN,5,5
2024,IND,5,5
2024,KEN,5,5
2024,POL,5,5
2024,SUI,5,5
2024,TPE,5,5
2024,TUR,5,5
1996,CZE,4,4
1996,KAZ,4,4
1998,CAN,4,4
1998,JPN,4,4
1998,USA,4,4
2000,MAR,4,4
2000,NED,4,4
2000,TPE,4,4
2002,CHN,4,4
2002,RUS,4,4
2004,ARG,4,4
2004,AZE,4,4
2004,GRE,4,4
2004,THA,4,4
2004,TUR,4,4
2006,FRA,4,4
2006,NED,4,4
2008,ARG,4,4
2008,ARM,4,4
2008,AZE,4,4
2008,INA,4,4
2008,KAZ,4,4
2008,NED,4,4
2008,NZL,4,4
2008,ROU,4,4
2008,SUI,4,4
2010,CHN,4,4
2010,CZE,4,4
2010,FIN,4,4
2010,SWE,4,4
2012,IND,4,4
2012,IRL,4,4
2012,JAM,4,4
2012,MEX,4,4
2014,SLO,4,4
2016,BLR,4,4
2016,CUB,4,4
2016,GEO,4,4
2016,HUN,4,4
2016,IRI,4,4
2016,NED,4,4
2016,NOR,4,4
2016,TUR,4,4
2016,UKR,4,4
2018,FIN,4,4
2018,GBR,4,4
2018,JPN,4,4
2018,KOR,4,4
2018,SUI,4,4
2020,AZE,4,4
2020,DEN,4,4
2020,EGY,4,4
2020,IND,4,4
2020,JAM,4,4
2020,MEX,4,4
2024,KGZ,4,4
2024,PRK,4,4
2024,UKR,4,4
1996,KEN,3,3
1996,NGR,3,3
1996,NOR,3,3
1998,RUS,3,3
1998,SUI,3,3
2000,ALG,3,3
2000,BEL,3,3
2000,CZE,3,3
2000,ETH,3,3
2000,GRE,3,3
2000,HUN,3,3
2000,JAM,3,3
2000,LTU,3,3
2000,MEX,3,3
2000,NOR,3,3
2000,NZL,3,3
2000,POL,3,3
2000,PRK,3,3
2000,RSA,3,3
2000,SWE,3,3
2004,BRA,3,3
2004,CAN,3,3
2004,EGY,3,3
2004,HUN,3,3
2004,KAZ,3,3
2004,SLO,3,3
2004,SUI,3,3
2006,FIN,3,3
2008,BUL,3,3
2008,CRO,3,3
2008,DEN,3,3
2008,ESP,3,3
2008,TUR,3,3
2008,UZB,3,3
2010,ITA,3,3
2010,NED,3,3
2010,SUI,3,3
2012,BLR,3,3
2012,CZE,3,3
2012,DEN,3,3
2012,ETH,3,3
2012,GEO,3,3
2012,LTU,3,3
2012,MGL,3,3
2012,PRK,3,3
2012,SVK,3,3
2012,SWE,3,3
2012,UZB,3,3
2014,CZE,3,3
2014,GBR,3,3
2014,JPN,3,3
2014,LAT,3,3
2016,COL,3,3
2016,EGY,3,3
2016,LTU,3,3
2016,SWE,3,3
2016,TUN,3,3
2018,CZE,3,3
2020,BEL,3,3
2020,BLR,3,3
2020,CZE,3,3
2020,HKG,3,3
2020,INA,3,3
2020,MGL,3,3
2024,AUT,3,3
2024,AZE,3,3
2024,BUL,3,3
2024,CRO,3,3
2024,IRI,3,3
2024,IRL,3,3
