NOC,Gold,Bronze,Silver,Total Medals
AFG,0,2,0,2
AIN,1,1,3,5
ALB,0,2,0,2
ALG,6,6,4,16
ARG,9,16,8,33
ARM,2,9,11,22
AUS,112,138,122,372
AUT,35,57,41,133
AZE,9,31,16,56
BAH,7,4,2,13
BAR,0,1,0,1
BDI,1,0,1,2
BEL,13,21,10,44
BER,1,0,0,1
BLR,21,48,33,102
BOT,1,1,2,4
BRA,31,61,39,131
BRN,4,1,3,8
BUL,18,29,22,69
BUR,0,1,0,1
CAN,89,111,95,295
CHI,3,2,2,7
CHN,280,181,209,670
CIV,1,3,0,4
CMR,3,1,0,4
COL,5,13,14,32
CPV,0,1,0,1
CRC,1,2,0,3
CRO,20,16,20,56
CUB,51,65,45,161
CYP,0,0,2,2
CZE,31,40,33,104
DEN,19,29,24,72
DMA,1,0,0,1
DOM,4,4,5,13
ECU,4,2,4,10
EGY,3,14,6,23
ERI,0,1,0,1
ESP,35,49,57,141
EST,7,8,5,20
ETH,18,17,14,49
FIJ,2,1,1,4
FIN,12,27,25,64
FRA,113,149,132,394
GAB,0,0,1,1
GBR,136,139,125,400
GEO,13,19,15,47
GER,179,180,182,541
GHA,0,1,0,1
GRE,20,19,21,60
GRN,1,3,1,5
GUA,0,0,1,1
HKG,4,6,3,13
HUN,55,41,42,138
INA,8,15,11,34
IND,2,18,7,27
IOA,1,1,0,2
IRI,23,15,17,55
IRL,10,12,5,27
ISL,0,1,1,2
ISR,2,3,5,10
ITA,97,128,97,322
JAM,23,21,26,70
JOR,1,1,2,4
JPN,110,112,93,315
KAZ,15,42,26,83
KEN,26,28,31,85
KGZ,0,8,5,13
KOR,103,82,96,281
KOS,3,1,1,5
KSA,0,2,2,4
KUW,0,3,0,3
LAT,5,9,10,24
LCA,1,0,1,2
LIE,0,1,0,1
LTU,5,14,9,28
MAR,4,10,3,17
MAS,0,6,8,14
MDA,0,7,3,10
MEX,4,19,14,37
MGL,2,9,7,18
MKD,0,1,1,2
MNE,0,0,1,1
MOZ,1,1,0,2
MRI,0,1,0,1
NAM,0,0,3,3
NED,97,89,85,271
NGR,3,9,7,19
NIG,0,0,1,1
NOR,83,65,65,213
NZL,37,30,30,97
OAR,2,9,6,17
PAK,1,0,0,1
PAN,1,0,1,2
PAR,0,0,1,1
PER,0,1,0,1
PHI,3,3,4,10
POL,36,43,37,116
POR,4,8,7,19
PRK,10,17,13,40
PUR,2,4,1,7
QAT,2,4,2,8
ROC,20,23,28,71
ROT,0,1,0,1
ROU,34,33,31,98
RSA,12,11,19,42
RUS,183,181,156,520
SAM,0,0,1,1
SCG,0,0,2,2
SGP,0,0,1,1
SIN,1,3,0,4
SLO,12,16,15,43
SMR,0,2,1,3
SRB,9,12,8,29
SRI,0,0,1,1
SUD,0,0,1,1
SUI,45,45,37,127
SVK,13,10,18,41
SWE,41,38,56,135
SYR,1,2,0,3
TGA,0,0,1,1
THA,11,16,10,37
TJK,1,5,1,7
TKM,0,0,1,1
TOG,0,1,0,1
TPE,9,21,9,39
TTO,2,7,3,12
TUN,5,6,2,13
TUR,15,29,15,59
UAE,1,1,0,2
UGA,4,2,2,8
UKR,40,74,43,157
URU,0,0,1,1
USA,378,314,339,1031
UZB,18,23,8,49
VEN,2,4,5,11
VIE,1,1,3,5
YUG,2,3,2,7
ZAM,0,1,1,2
ZIM,2,1,4,7
