Year,NOC,Silver,Total
1996,ALG,0,0
1996,ARG,2,2
1996,ARM,1,1
1996,AUS,9,9
1996,AUT,1,1
1996,AZE,1,1
1996,BAH,1,1
1996,BDI,0,0
1996,BEL,2,2
1996,BLR,6,6
1996,BRA,3,3
1996,BUL,7,7
1996,CAN,11,11
1996,CHN,22,22
1996,CRC,0,0
1996,CRO,1,1
1996,CUB,8,8
1996,CZE,3,3
1996,DEN,1,1
1996,ECU,0,0
1996,ESP,6,6
1996,ETH,0,0
1996,FIN,2,2
1996,FRA,7,7
1996,GBR,8,8
1996,GEO,0,0
1996,GER,18,18
1996,GRE,4,4
1996,HKG,0,0
1996,HUN,4,4
1996,INA,1,1
1996,IND,0,0
1996,IRI,1,1
1996,IRL,0,0
1996,ITA,10,10
1996,JAM,3,3
1996,JPN,6,6
1996,KAZ,4,4
1996,KEN,4,4
1996,KOR,15,15
1996,LAT,1,1
1996,LTU,0,0
1996,MAR,0,0
1996,MAS,1,1
1996,MDA,1,1
1996,MEX,0,0
1996,MGL,0,0
1996,MOZ,0,0
1996,NAM,2,2
1996,NED,5,5
1996,NGR,1,1
1996,NOR,2,2
1996,NZL,2,2
1996,PHI,1,1
1996,POL,5,5
1996,POR,0,0
1996,PRK,1,1
1996,PUR,0,0
1996,ROU,7,7
1996,RSA,1,1
1996,RUS,21,21
1996,SLO,2,2
1996,SUI,3,3
1996,SVK,1,1
1996,SWE,4,4
1996,SYR,0,0
1996,TGA,1,1
1996,THA,0,0
1996,TPE,1,1
1996,TTO,0,0
1996,TUN,0,0
1996,TUR,1,1
1996,UGA,0,0
1996,UKR,2,2
1996,USA,32,32
1996,UZB,1,1
1996,YUG,1,1
1996,ZAM,1,1
1998,AUS,0,0
1998,AUT,5,5
1998,BEL,0,0
1998,BLR,0,0
1998,BUL,0,0
1998,CAN,5,5
1998,CHN,6,6
1998,CZE,1,1
1998,DEN,1,1
1998,FIN,4,4
1998,FRA,1,1
1998,GBR,0,0
1998,GER,9,9
1998,ITA,6,6
1998,JPN,1,1
1998,KAZ,0,0
1998,KOR,1,1
1998,NED,4,4
1998,NOR,10,10
1998,RUS,6,6
1998,SUI,2,2
1998,SWE,2,2
1998,UKR,1,1
1998,USA,3,3
2000,ALG,1,1
2000,ARG,2,2
2000,ARM,0,0
2000,AUS,25,25
2000,AUT,1,1
2000,AZE,0,0
2000,BAH,0,0
2000,BAR,0,0
2000,BEL,2,2
2000,BLR,3,3
2000,BRA,6,6
2000,BUL,6,6
2000,CAN,3,3
2000,CHI,0,0
2000,CHN,16,16
2000,CMR,0,0
2000,COL,0,0
2000,CRC,0,0
2000,CRO,0,0
2000,CUB,11,11
2000,CZE,3,3
2000,DEN,3,3
2000,ESP,3,3
2000,EST,0,0
2000,ETH,1,1
2000,FIN,1,1
2000,FRA,14,14
2000,GBR,10,10
2000,GEO,0,0
2000,GER,17,17
2000,GRE,6,6
2000,HUN,6,6
2000,INA,3,3
2000,IND,0,0
2000,IRI,0,0
2000,IRL,1,1
2000,ISL,0,0
2000,ITA,8,8
2000,JAM,6,6
2000,JPN,8,8
2000,KAZ,4,4
2000,KEN,3,3
2000,KGZ,0,0
2000,KOR,10,10
2000,KSA,1,1
2000,KUW,0,0
2000,LAT,1,1
2000,LTU,0,0
2000,MAR,1,1
2000,MDA,1,1
2000,MEX,2,2
2000,MKD,0,0
2000,MOZ,0,0
2000,NED,9,9
2000,NGR,2,2
2000,NOR,3,3
2000,NZL,0,0
2000,POL,5,5
2000,POR,0,0
2000,PRK,1,1
2000,QAT,0,0
